title,author,date,publisher,text
"Die Rückkehr der Religion in der Moderne",Hans Joas,2017,Suhrkamp,"Analyse der Vitalität religiöser Praktiken in der modernen Gesellschaft. Religion und Säkularisierung."
"Der Gott der Unternehmer",Susanne Schwarz,2022,Gütersloher Verlagshaus,"Spirituelle Führungskräfte und der Markt-Sinn. Neoliberale Spiritualität im Management."
"Glaube und Dogma",Kardinal Müller,2015,Herder,"Verteidigung der katholischen Lehre gegen moderne Irrtümer. Institutionelle Kirche und Glaube."
"Atheismus in der Aufklärung",Herbert Schnädelbach,2019,Suhrkamp,"Kritische Untersuchung der Religionskritik. Vernunft gegen Offenbarung."
"Achtsamkeit als Profitcenter",Max Weber,2021,Ariston,"Wie Spiritualität zur Produktivitätssteigerung im Büro genutzt wird. Optimierung des Selbst."
"Das Elend der Theologie",Gerhard Schmidt,2020,Alibri,"Kritik der religiösen Machtstrukturen. Säkularer Humanismus und Ethik."
"Seelsorge im 21. Jahrhundert",Anne Fischer,2023,EVA,"Praktische Theologie und Gemeinde. Begleitung in der Krise. Glaube."
"Der Markt als Gott",Harvey Cox,2018,Gütersloher Verlagshaus,"Die religiösen Wurzeln des Kapitalismus. Gott und Geld."
"Moral ohne Gott",Richard Dawkins (dt.),2016,Ullstein,"Ethik aus evolutionärer Sicht. Wissenschaft gegen Religion."
"Transformation der Spiritualität",Peter Sloterdijk,2014,Suhrkamp,"Übungen des Geistes. Transzendenz im Zeitalter der Technik."
"Evangelium und soziale Gerechtigkeit",Hubert Wolf,2021,Herder,"Die Kirche im sozialen Raum. Ethik und Moral."
"Erfolg durch Gebet?",Dieter Müller,2019,Scorpios,"Erfolgspsychologie und spirituelle Praxis. Sinnsuche am Arbeitsplatz."
"Säkulare Spiritualität",Thomas Metzinger,2020,Suhrkamp,"Ein Entwurf für eine naturalistische Ethik. Meditation ohne Gott."
"Kirchenkrise und Hoffnung",Karl Lehmann,2016,Herder,"Perspektiven für den katholischen Glauben in Deutschland."
"Die Macht der Mythen",Karen Armstrong (dt.),2015,Goldmann,"Weltreligionen und ihre Erzählungen. Transzendenz und Sinn."
"Neoliberale Seelenführung",Jens Beckert,2022,Suhrkamp,"Soziologie der Spiritualität im Kapitalismus. Marktlogik."
"Gott ist tot? Die neuen Kulte",Uwe Jean Heuser,2021,Rowohlt,"Vom traditionellen Glauben zum Konsum-Fetischismus."
"Theologie der Befreiung heute",Gustavo Gutiérrez,2015,Patmos,"Glaube und Kampf gegen Armut. Soziale Moral."
"Manifest des Humanismus",Michael Schmidt-Salomon,2018,Alibri,"Säkularer Ethik-Entwurf für die moderne Gesellschaft."
"Achtsamkeit im Kapitalismus",Ronald Purser (dt.),2020,Mabuse,"Kritik der Self-Help Industrie. Neoliberale Moral."
